"Groups","Category","Barcode Ref","Product Name","Cost","Selling Price","VAT £","Expr1007","Gross Margin £","Gross Margin %","Qty Stock (Current Mth)","Sales Value (Current Mth)","Stock Value (Current Mth)","Purchases Qty","Sales Qty","Gross Margin £ Total","Net Selling Price"
"Clothing & Bags","Tees","2594","All's Well Tee","3,75","20,00","3,33","16,67","12,92","64,58%","0,00","0,00","0,00","0,00","0,00","0,00","16,67"
"Clothing & Bags","Tees","255142","Kings & Rogues Tee","3,75","5,00","0,83","4,17","0,42","8,33%","57,00","237,69","213,75","0,00","57,00","23,75","4,17"
"Clothing & Bags","Tees","225588","Globe Theatre Tee","3,85","20,00","2,98","17,02","13,17","65,86%","539,00","510,60","2.075,15","0,00","30,00","395,14","17,02"
"Clothing & Bags","Tees","1698754","Complete Works Tee","6,00","20,00","3,33","16,67","10,67","53,33%","500,00","466,76","3.000,00","0,00","28,00","298,67","16,67"
"Clothing & Bags","Tees","2766","Faustus Tee","3,85","20,00","3,33","16,67","12,82","64,08%","0,00","0,00","0,00","0,00","0,00","0,00","16,67"
"Clothing & Bags","Tees","23574125","R&J Tee","3,75","16,00","2,67","13,33","9,58","59,90%","152,00","293,26","570,00","0,00","22,00","210,83","13,33"
"DVDs","The Plays","5035822066830","Macbeth Polanski DVD","3,17","9,99","1,67","8,33","5,16","51,60%","10,00","74,97","31,70","0,00","9,00","46,40","8,33"
"DVDs","The Plays","5055201804235","Hamlet Gibson DVD","3,71","12,99","2,17","10,83","7,12","54,77%","9,00","43,32","33,39","0,00","4,00","28,46","10,83"
"DVDs","The Plays","5055002554230","King Lear McKellen DVD","2,00","12,99","1,93","11,06","9,06","69,71%","20,00","0,00","40,00","0,00","0,00","0,00","11,06"
"DVDs","The Plays","5051561031304","Hamlet - Tennent","9,07","16,99","2,83","14,16","5,09","29,95%","18,00","70,80","163,26","0,00","5,00","25,44","14,16"
"DVDs","The Plays","5050582349016","King Lear Scofield DVD","2,93","9,99","1,49","8,50","5,57","55,78%","14,00","0,00","41,02","0,00","0,00","0,00","8,50"
"DVDs","The Plays","5050582318951","Hamlet Williamson DVD","3,67","9,99","1,49","8,50","4,83","48,37%","9,00","8,50","33,03","0,00","1,00","4,83","8,50"
"DVDs","The Plays","5050070027969","The Merchant of Venice DVD","3,45","9,99","1,67","8,33","4,88","48,80%","7,00","24,99","24,15","0,00","3,00","14,63","8,33"
"DVDs","The Plays","5039036009744","Midsummer DVD","4,15","9,99","1,49","8,50","4,35","43,56%","1,00","51,00","4,15","0,00","6,00","26,11","8,50"
"DVDs","The Plays","5036193093487","Shakespeare Retold DVD","5,44","14,99","2,23","12,76","7,32","48,82%","5,00","12,76","27,20","0,00","1,00","7,32","12,76"
"DVDs","The Plays","5014437827739","Romeo & Juliet  Zeffirelli DVD","2,91","9,99","1,49","8,50","5,59","55,98%","8,00","0,00","23,28","0,00","0,00","0,00","8,50"
"DVDs","The Plays","3259190276192","Henry V Branagh DVD","4,29","9,99","1,49","8,50","4,21","42,16%","3,00","8,50","12,87","0,00","1,00","4,21","8,50"
"DVDs","The Plays","7321900826839","Hamlet Branagh","3,83","9,99","1,67","8,33","4,50","44,99%","7,00","24,99","26,81","0,00","3,00","13,49","8,33"
"DVDs","The Plays","5039036008419","Romeo & Juliet - Di Caprio","12,79","19,99","2,98","17,01","4,22","21,12%","22,00","0,00","281,38","0,00","0,00","0,00","17,01"
"Christmas","Christmas","109","Christmas 20","8,49","15,00","2,23","12,77","4,28","28,51%","1,00","0,00","8,49","0,00","0,00","0,00","12,77"
"Christmas","Christmas","107","Christmas 8","2,99","6,00","1,00","5,00","2,01","33,50%","7,00","15,00","20,93","0,00","3,00","6,03","5,00"
"Christmas","Christmas","105","Christmas 6","2,12","4,00","0,60","3,40","1,28","32,11%","109,00","20,40","231,08","0,00","6,00","7,71","3,40"
"Christmas","Christmas","104","Christmas 5","1,59","3,00","0,45","2,55","0,96","32,11%","211,00","58,65","335,49","0,00","23,00","22,15","2,55"
"Christmas","Christmas","103","Christmas 4","1,22","2,50","0,42","2,08","0,86","34,53%","1.235,00","58,24","1.506,70","0,00","28,00","24,17","2,08"
"Christmas","Christmas","102","Christmas 3","0,94","2,00","0,33","1,67","0,73","36,33%","546,00","53,44","513,24","0,00","32,00","23,25","1,67"
"Christmas","Christmas","101","Christmas 2","0,48","1,00","0,15","0,85","0,37","37,11%","163,00","1,70","78,24","0,00","2,00","0,74","0,85"
"Christmas","Christmas","112","Christmas 12","4,50","8,00","1,19","6,81","2,31","28,86%","10,00","0,00","45,00","0,00","0,00","0,00","6,81"
"DVDs","Globe Dvds","809478010357","Globe LLL DVD","9,27","19,99","2,98","17,01","7,74","38,73%","136,00","119,07","1.260,72","0,00","7,00","54,20","17,01"
"DVDs","Globe Dvds","809478070719","Globe LLL Blu-Ray","14,45","24,99","3,72","21,27","6,82","27,28%","10,00","21,27","144,50","0,00","1,00","6,82","21,27"
"DVDs","Globe Dvds","809478070665","Globe As You Like It blu-ray","14,45","24,99","3,72","21,27","6,82","27,28%","17,00","0,00","245,65","0,00","0,00","0,00","21,27"
"DVDs","Globe Dvds","809478010425","Globe Boxset","33,50","44,99","7,50","37,49","3,99","8,87%","90,00","824,78","3.015,00","0,00","22,00","87,82","37,49"
"DVDs","Globe Dvds","809478010296","Globe R&J DVD","9,27","19,99","3,33","16,66","7,39","36,96%","108,00","499,80","1.001,16","0,00","30,00","221,65","16,66"
"DVDs","Globe Dvds","5060197090005","Demonstrations DVD","13,00","20,00","2,98","17,02","4,02","20,11%","6,00","0,00","78,00","0,00","0,00","0,00","17,02"
"DVDs","Globe Dvds","5060039040229","Globe - Othello DVD","12,25","19,99","3,33","16,66","4,41","22,05%","34,00","383,18","416,50","0,00","23,00","101,39","16,66"
"DVDs","Globe Dvds","5060033831793","Shakespeare's Globe DVD","11,05","19,99","3,33","16,66","5,61","28,06%","61,00","133,28","674,05","0,00","8,00","44,87","16,66"
"DVDs","Globe Dvds","809478010326","Globe As You Like It DVD","9,27","19,99","3,33","16,66","7,39","36,96%","81,00","83,30","750,87","0,00","5,00","36,94","16,66"
"DVDs","Globe Dvds","809478070627","Globe R&J Blu-ray","14,45","24,99","3,72","21,27","6,82","27,28%","7,00","0,00","101,15","0,00","0,00","0,00","21,27"
