50	730266000819		LD002LM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	L	26	0			
50	730266000826		LD002LM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	XL	26	0			
50	730266025409		LD002LM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	P	26	0			
50	730266025416		LD002LM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	S	26	0			
50	730266025423		LD002LM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	M	26	0			
50	730266025430		LD002LM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	L	26	0			
50	730266000833		LD002LM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	P	26	0			
50	730266000840		LD002LM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	S	26	0			
50	730266000857		LD002LM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	M	26	0			
50	730266000864		LD002LM   	CORE TANK LEOTARD	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	L	26	0			
50	730266000871		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	4-6	20	0			
50	730266000888		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	6X-7	20	0			
50	730266000895		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	8-10	20	0			
50	730266000901		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	1214	20	0			
50	730266000918		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	4-6	20	0			
50	730266000925		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	6X-7	20	0			
50	730266000932		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	8-10	20	0			
50	730266000949		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	1214	20	0			
50	730266025447		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	SKB 	SKY BLUE	_ 	4-6	20	0			
50	730266025454		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	SKB 	SKY BLUE	_ 	6X-7	20	0			
50	730266025461		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	SKB 	SKY BLUE	_ 	8-10	20	0			
50	730266025478		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	SKB 	SKY BLUE	_ 	1214	20	0			
50	730266000956		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	4-6	20	0			
50	730266000963		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	6X-7	20	0			
50	730266000970		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	8-10	20	0			
50	730266000987		LD003CM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	1214	20	0			
50	730266000994		LD003LM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	P	26	0			
50	730266001007		LD003LM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	S	26	0			
50	730266001014		LD003LM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	M	26	0			
50	730266001021		LD003LM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	L	26	0			
50	730266001038		LD003LM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	_ 	XL	26	0			
50	730266025485		LD003LM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	P	26	0			
50	730266025492		LD003LM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	S	26	0			
50	730266025508		LD003LM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	M	26	0			
50	730266025515		LD003LM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	RED 	RED	_ 	L	26	0			
50	730266001045		LD003LM   	CORE SHORT SLV LEO	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	_ 	P	26	0			
