30	688478744420		AFBS      	CC1 	_ 	S	0	AT ONCE
30	688478744437		AFBS      	CC1 	_ 	M	0	AT ONCE
30	688478744444		AFBS      	CC1 	_ 	L	0	AT ONCE
30	688478744451		AFBS      	CC2 	_ 	CM	0	AT ONCE
30	688478744468		AFBS      	CC2 	_ 	CL	0	AT ONCE
30	688478744475		AFBS      	CC2 	_ 	P	0	AT ONCE
30	688478744482		AFBS      	CC2 	_ 	S	0	AT ONCE
30	688478744499		AFBS      	CC2 	_ 	M	0	AT ONCE
30	688478744505		AFBS      	CC2 	_ 	L	0	AT ONCE
30	688478744512		AFBS      	CC3 	_ 	CM	0	AT ONCE
30	688478744529		AFBS      	CC3 	_ 	CL	0	AT ONCE
30	688478744536		AFBS      	CC3 	_ 	P	0	AT ONCE
30	688478744543		AFBS      	CC3 	_ 	S	0	AT ONCE
30	688478744550		AFBS      	CC3 	_ 	M	0	AT ONCE
30	688478744567		AFBS      	CC3 	_ 	L	0	AT ONCE
30	688478744574		AFBS      	COR 	_ 	CM	0	AT ONCE
30	688478744581		AFBS      	COR 	_ 	CL	0	AT ONCE
30	688478744598		AFBS      	COR 	_ 	P	0	AT ONCE
30	688478744604		AFBS      	COR 	_ 	S	0	AT ONCE
30	688478744611		AFBS      	COR 	_ 	M	0	AT ONCE
30	688478744628		AFBS      	COR 	_ 	L	0	AT ONCE
30	688478744635		AFBS      	DNM 	_ 	CM	0	AT ONCE
30	688478744642		AFBS      	DNM 	_ 	CL	0	AT ONCE
30	688478744659		AFBS      	DNM 	_ 	P	0	AT ONCE
30	688478744666		AFBS      	DNM 	_ 	S	0	AT ONCE
30	688478744673		AFBS      	DNM 	_ 	M	0	AT ONCE
30	688478744680		AFBS      	DNM 	_ 	L	0	AT ONCE
30	688478744697		AFBS      	DTL 	_ 	CM	0	AT ONCE
30	688478744703		AFBS      	DTL 	_ 	CL	0	AT ONCE
30	688478744710		AFBS      	DTL 	_ 	P	0	AT ONCE
30	688478744727		AFBS      	DTL 	_ 	S	0	AT ONCE
30	688478744734		AFBS      	DTL 	_ 	M	0	AT ONCE
30	688478744741		AFBS      	DTL 	_ 	L	0	AT ONCE
30	688478744758		AFBS      	KHK 	_ 	CM	0	AT ONCE
30	688478744765		AFBS      	KHK 	_ 	CL	0	AT ONCE
30	688478744772		AFBS      	KHK 	_ 	P	0	AT ONCE
30	688478744789		AFBS      	KHK 	_ 	S	0	AT ONCE
30	688478744796		AFBS      	KHK 	_ 	M	0	AT ONCE
30	688478744802		AFBS      	KHK 	_ 	L	0	AT ONCE
30	688478744819		AFBS      	SP1 	_ 	CM	0	AT ONCE
30	688478744826		AFBS      	SP1 	_ 	CL	0	AT ONCE
30	688478744833		AFBS      	SP1 	_ 	P	0	AT ONCE
30	688478744840		AFBS      	SP1 	_ 	S	0	AT ONCE
30	688478744857		AFBS      	SP1 	_ 	M	0	AT ONCE
30	688478744864		AFBS      	SP1 	_ 	L	0	AT ONCE
